category,opendb_id,buildcores_id,name,part_numbers,on_current_feed,in_local_checkout_before,has_any_picture
CaseFan,c38fe0d0-b5f8-486e-92be-fb412bf6fd7b,xeb2ft13d,NZXT F140Q 140mm Black PWM (2022) 101 CFM,,False,True,True
CaseFan,8f6d69bc-9ce7-48e2-a0bb-b2876d5c18e8,n3p1zs0w9,NZXT AER RGB 2 120mm RGB PWM 52.44 CFM Black 3-Pack,,False,True,True
CaseFan,b211266e-e349-4d8b-b2e6-ccdc5e62d5f1,0q5m1g6dy,NZXT F RGB Core 140mm White RGB PWM 2-Pack,,False,True,True
CaseFan,07246654-287d-4034-b5ba-927544e0c47e,uqtpe6nqx,NZXT Aer F 120mm Black PWM 1-Pack,RF-AF120-B1,False,True,True
CaseFan,2869747d-6ac2-47fa-965c-46190ecdcfc8,tdplr3c47,NZXT Aer 120mm Black RGB PWM 3-Pack,,False,True,True
CaseFan,2ca4bba2-5ede-4ed6-9502-181b61d1ddad,h3yas8b4q,NZXT AER RGB 2 120mm Black Addressable RGB PWM 52.44 CFM,,False,True,True
CaseFan,c6f29efb-e822-454d-b026-e79a7850afd6,ublnv5aep,NZXT F140P (2022) 140mm White PWM 99.68 CFM,,False,True,True
CaseFan,03756890-be8d-44b6-8a22-9ac014dd9662,j14gxajc4,NZXT Air Flow 59.1 CFM 120mm Clear White 1-Pack,RF-FZ120-W1,False,True,True
CaseFan,becc94b2-7439-4c16-9569-3150cbd4c5fa,jjjp4xyna,NZXT FN 120mm White,,False,True,False
CaseFan,daf04119-85a1-4c27-b8fa-c0819150f336,b90excf4g,NZXT AER RGB 2 140mm White Addressable RGB PWM 52.44 CFM 1-Pack,,False,True,True
CaseFan,ab8ca4b3-384b-4556-8aed-826dac55a1b3,wakv8ua1p,NZXT Air Flow 120mm Clear Red LED 59.1 CFM 1-Pack,RF-FZ120-R1,False,True,True
CaseFan,348714fe-f089-47db-8d9e-72b6bdd69d31,e4vz8vo3w,NZXT Aer P 120mm Black PWM,,False,True,True
CaseFan,8ff620a3-e684-4a06-910e-5a74c245f200,dutf3kdpl,NZXT F120Q CV Black 120mm,,False,True,False
CaseFan,f8f90886-ed2e-49f4-9cea-344e3be67568,5olvu6sdx,NZXT Aer 140mm Black RGB PWM 71.6 CFM,,False,True,True
CaseFan,1d5281fd-3ec0-48b4-9f88-5a55a74541ae,2dzj5hd97,NZXT AER RGB 2 140mm Black PWM Addressable RGB 91.19 CFM 1-Pack,,False,True,True
CaseFan,ac42b35b-0ed8-4a22-bdda-6d2ffa5cb1dd,s6cwdngui,NZXT Aer 120mm Black Addressable RGB PWM 61.4 CFM,,False,True,True
CaseFan,d8a8cc93-361c-4282-8256-8ba53b8a64fd,9d9pzwel3,NZXT FX 98.3 CFM 140 mm Fan,,False,True,False
CaseFan,9608dad3-ffed-4ca1-987b-2d3cf87755e5,pcm23mv2u,NZXT Aer F 140mm Black PWM,RF-AF140-B1,False,True,True
CaseFan,3b293dd2-4a6e-44eb-8950-3181710ffb4c,31tur6527,NZXT AER RGB 2 140mm Black Addressable RGB PWM 91.19 CFM 2-Pack,,False,True,True
CaseFan,e1ab3f7b-e2f9-4ba2-8e11-5aa1c702f323,xft9syph3,NZXT Aer F 140mm Black PWM,,False,True,True
CaseFan,3c348402-a709-463d-b694-d21a7b0b04df,q52cuj1r5,NZXT AER RGB 2 120mm Black RGB PWM 2-Pack,,False,True,True
CaseFan,9e129a88-f9f3-4ed2-a4f2-e0d13451ad6f,n5g1mavwb,NZXT AER RGB 2 120mm Black PWM RGB 52.44 CFM 3-Pack,,False,True,True
CaseFan,114b860c-ebf3-4bae-b09b-fe7a0e4ab70f,c2o4mfb37,NZXT FX 120mm White 96 CFM 1-Pack,,False,True,False
CaseFan,c770122e-6898-42f2-917c-bf7b1dc02a4b,096gm4gbx,NZXT FN V2 120mm 45 CFM Black / White 1-Pack,,False,True,False
CaseFan,37131a9b-638a-4d81-ac68-5faf27bd9d52,yhhbskkdy,NZXT AER RGB 2 120mm White PWM 52.44 CFM 1-Pack,,False,True,False
CaseFan,82f7c094-7676-4617-9795-2b8898e0f0cf,oiddlth2h,NZXT FN V2 140mm Black / White 50 CFM 1-Pack,,False,True,False
CaseFan,e18ef3f2-3434-461a-86fe-24a0ef7e49ac,8v8j2njvu,NZXT Air 140mm Clear White LED 1-Pack,,False,True,False
CaseFan,8dcd5e69-dd0e-4d38-9482-ed91782c2142,kad15sl9i,NZXT FX 98.3 CFM 140 mm Fan,,False,True,False
CaseFan,e7c9f3a6-4361-44c9-af51-733ad6672db1,mm15xj95c,NZXT FN 140mm White 62.5 CFM,,False,True,False
CaseFan,b56dc2bb-27a9-45f3-9945-344f1df54d8b,ac6g4ih95,NZXT FN 200mm White 166.2 CFM,,False,True,False
CaseFan,9d1096d0-8154-4fa6-899f-e70f400b4385,0h6cpwl1v,NZXT FS 193mm Black / White Green LED,,False,True,False
CaseFan,bff789df-fa9e-4203-a09f-7689265889f3,0z3jiq74z,NZXT FZ 120mm Blue LED 59.1 CFM Clear 1-Pack,,False,True,False
CaseFan,c08961ff-967d-4312-9f84-9d5f29278d55,tm4qn0kvg,NZXT FZ 120mm Clear 59.1 CFM Orange LED 1-Pack,,False,True,False
CaseFan,a57dd105-ea7d-4578-bb37-fcbad73cb2e0,987zd8hol,NZXT Air Flow 83.6 CFM 140mm Clear Blue LED,,False,True,False
CaseFan,57affe83-4048-4c2f-944c-57171167c1d5,1nkudk96o,NZXT FZ 200mm Transparent Blue LED 1-Pack,,False,True,False
CaseFan,d106ec5b-2996-46e9-9d4c-589d62741b62,93t5zst9q,NZXT FZ 200mm Transparent 103 CFM White 1-Pack,,False,True,False
CaseFan,f6494cea-a0c5-4d2c-9df8-6911f58e9cd9,ecka0im4z,NZXT Air Flow 120mm White,,False,True,False
CaseFan,e949fa34-afc0-4d56-bbc0-ce77ffb91d4d,86q71r8vv,NZXT FZ 120mm Clear Green 59.1 CFM,,False,True,False
CaseFan,ee8c075a-e6a6-4c06-b982-f415af87dc5d,mpvxlen7q,NZXT FX V2 140mm Black / White 106.1 CFM 1-Pack,,False,True,False
CaseFan,44aa6aad-e4d5-4681-8697-03d33dad81ec,u3z1td3i1,NZXT Air Flow 140mm Red 83.6 CFM Clear 1-Pack,,False,True,False
CaseFan,5db29bda-945c-401b-8b6a-b1ca8a5c2237,hj4nizfgw,NZXT FX 140mm Black / White PWM 98.3 CFM,,False,True,False
CaseFan,15de4668-13e7-4a4e-b583-e5248615fd9a,yssv9w820,NZXT Air Flow 83.6 CFM 140mm Clear Orange LED 1-Pack,,False,True,False
CaseFan,e4eb2f4e-2b5c-482f-a0b9-208bf9bbea01,droe6xg41,NZXT Air Flow 140mm White,,False,True,False
CaseFan,a8c62206-9528-4e3d-aafd-97ab36930e74,i8e4y1gmc,NZXT FS 193mm 89.5 CFM Blue LED Black / White 1-Pack,,False,True,False
CaseFan,5efc1fa5-7454-494f-ba7a-7e94e3361261,2slvcs04g,NZXT FZ 200mm White 103 CFM 1-Pack,,False,True,False
CaseFan,1fc95970-4a3f-4e20-92cd-06eeae742a6d,u8npjqr11,NZXT FN V2 120mm Black / White 45 CFM,,False,True,False
CaseFan,098c0bf9-a7e7-4bb3-8b44-f4e1c918634e,buw4kzvbg,NZXT FS 193mm Black / White 89.5 CFM Red LED 1-Pack,,False,True,False
